,Date,Next_Day_Close,Next_Day_Log_Return,Close,High,Low,Open,Volume,Sigma,Log_Return,Volatility_20D,MA_20,BOLL_Lower,BOLL_Upper,Pos_in_BBand,EMA_12,EMA_26,DIF,DEA,MACD,Dollar_Return,Gain ,RSI_6,RSI_12,RSI_24,Lowest_Low_9D,Highest_High_9D,Raw Stochastic Value,KDJ_K,KDJ_D,KDJ_J,KD_Diff,Overbought,Oversold,Log_Return_5D,Log_Return_Intra-day,Log_Hi_Lo_Ratio,Efficiency_Daily,Efficiency_Ratio_10D,Efficiency_Ratio_20D,Efficiency_Ratio_50D
0,2/1/2015,168.004,-0.01822,171.094,172.301,170.053,171.885,121465900,,,,,,,,171.094,171.094,0.000,0.000,0.000,,,,,,,,,,,,,,,,-0.00461,0.013,-0.352,,,
1,5/1/2015,166.421,-0.00946,168.004,170.211,167.696,170.044,169632600,,-0.018,,,,,,170.618,170.865,-0.246,-0.049,-0.394,-3.090,0.000,,,,,,,,,,,,,,-0.01207,0.015,-0.811,,,
2,6/1/2015,168.495,0.01238,166.421,168.837,165.622,168.312,209151400,,-0.009,,,,,,169.973,170.536,-0.563,-0.152,-0.822,-1.582,0.000,,,,,,,,,,,,,,-0.01130,0.019,-0.588,,,
3,7/1/2015,171.485,0.01759,168.495,168.837,167.304,167.754,125346700,,0.012,,,,,,169.745,170.385,-0.639,-0.249,-0.779,2.074,2.074,,,,,,,,,,,,,,0.00441,0.009,0.484,,,
4,8/1/2015,170.111,-0.00805,171.485,171.702,169.894,169.911,147217800,,0.018,,,,,,170.013,170.466,-0.453,-0.290,-0.326,2.990,2.990,,,,,,,,,,,,,,0.00922,0.011,0.871,,,
5,9/1/2015,168.778,-0.00786,170.111,171.918,169.495,171.902,158567300,,-0.008,,,,,,170.028,170.440,-0.412,-0.314,-0.194,-1.374,0.000,54.693,,,,,,,,,,,,-0.00576,-0.01047,0.014,-0.739,,,
6,12/1/2015,168.304,-0.00282,168.778,170.402,168.170,170.244,144396100,,-0.008,,,,,,169.836,170.317,-0.481,-0.348,-0.266,-1.333,0.000,40.696,,,,,,,,,,,,0.00460,-0.00865,0.013,-0.657,,,
7,13/1/2015,167.288,-0.00606,168.304,171.135,166.996,170.003,214553300,,-0.003,,,,,,169.600,170.168,-0.567,-0.392,-0.352,-0.475,0.000,51.525,,,,,,,,,,,,0.01125,-0.01004,0.024,-0.410,,,
8,14/1/2015,165.755,-0.00920,167.288,167.487,165.380,166.280,192991100,,-0.006,,,,,,169.244,169.954,-0.710,-0.455,-0.509,-1.016,0.000,54.676,,,165.380,172.301,27.557,27.557,27.557,27.557,0.000,0.000,0.000,-0.00719,0.00604,0.013,0.478,,,
9,15/1/2015,167.929,0.01303,165.755,168.245,165.639,167.929,176613900,,-0.009,,,,,,168.708,169.643,-0.936,-0.551,-0.769,-1.532,0.000,34.288,,,165.380,171.918,5.733,20.282,25.132,10.583,-4.850,0.000,0.471,-0.03399,-0.01303,0.016,-0.834,,,
10,16/1/2015,168.287,0.00213,167.929,168.087,165.364,165.547,211879600,,0.013,,,,,,168.588,169.516,-0.928,-0.627,-0.603,2.174,2.174,27.503,,,165.364,171.918,39.136,26.567,25.610,28.480,0.957,0.000,0.000,-0.01291,0.01429,0.016,0.875,0.179413897,,
11,20/1/2015,169.136,0.00504,168.287,168.837,166.713,168.570,130991100,,0.002,,,,,,168.541,169.425,-0.884,-0.678,-0.411,0.358,0.358,36.759,46.039,,165.364,171.918,44.599,32.578,27.933,41.867,4.645,0.000,0.000,-0.00292,-0.00168,0.013,-0.133,0.018994727,,
12,21/1/2015,171.652,0.01476,169.136,169.620,167.354,167.821,122942700,,0.005,,,,,,168.633,169.404,-0.771,-0.697,-0.148,0.850,0.850,52.796,44.808,,165.364,171.918,57.560,40.905,32.257,58.201,8.648,0.000,0.000,0.00494,0.00781,0.013,0.581,0.191536084,,
13,22/1/2015,170.711,-0.00550,171.652,171.785,168.512,169.894,174356000,,0.015,,,,,,169.097,169.570,-0.473,-0.652,0.358,2.515,2.515,69.823,59.982,,165.364,171.918,95.934,59.248,41.254,95.236,17.994,0.762,0.000,0.02575,0.01029,0.019,0.537,0.215955938,,
14,23/1/2015,171.110,0.00234,170.711,171.652,170.577,171.394,117516800,,-0.005,,,,,,169.346,169.655,-0.309,-0.583,0.548,-0.941,0.000,70.448,62.163,,165.364,171.785,83.268,67.255,49.921,101.923,17.334,1.096,0.000,0.02946,-0.00399,0.006,-0.636,0.061629707,,
15,26/1/2015,168.853,-0.01328,171.110,171.202,169.778,170.494,92009700,,0.002,,,,,,169.617,169.763,-0.145,-0.496,0.701,0.400,0.400,86.996,58.194,,165.364,171.785,89.494,74.668,58.170,107.664,16.498,1.383,0.000,0.01877,0.00361,0.008,0.433,0.08620608,,
16,27/1/2015,166.688,-0.01291,168.853,170.003,168.020,169.045,134044600,,-0.013,,,,,,169.500,169.695,-0.196,-0.436,0.480,-2.257,0.000,56.314,41.357,,165.364,171.785,54.344,67.893,61.411,80.858,6.482,0.043,0.000,0.00336,-0.00113,0.012,-0.097,0.005987542,,
17,28/1/2015,168.229,0.00920,166.688,170.144,166.496,170.044,168514300,,-0.013,,,,,,169.067,169.472,-0.405,-0.430,0.049,-2.165,0.000,41.241,39.314,,165.364,171.785,20.622,52.136,58.319,39.770,-6.183,0.000,0.000,-0.01458,-0.01994,0.022,-0.920,0.113715004,,
18,29/1/2015,166.113,-0.01265,168.229,168.487,165.472,166.888,173585400,,0.009,,,,,,168.938,169.380,-0.442,-0.432,-0.020,1.541,1.541,45.378,48.306,,165.364,171.785,44.617,49.630,55.423,38.044,-5.793,0.000,0.000,-0.02014,0.00800,0.018,0.445,0.063878089,,
19,30/1/2015,168.170,0.01231,166.113,168.379,165.847,167.046,197729700,1.814,-0.013,,168.722,165.094,172.350,-0.360,168.503,169.138,-0.635,-0.473,-0.324,-2.115,0.000,20.601,43.870,,165.472,171.785,10.159,36.473,49.106,11.206,-12.633,0.000,0.440,-0.02730,-0.00560,0.015,-0.368,0.023380924,0.161796416,
20,2/2/2015,170.602,0.01436,168.170,168.262,164.789,166.613,163107000,1.729,0.012,0.011,168.576,165.119,172.033,-0.059,168.452,169.067,-0.614,-0.501,-0.227,2.057,2.057,37.945,52.335,,164.789,171.785,48.333,40.426,46.213,28.853,-5.787,0.000,0.000,-0.01733,0.00930,0.021,0.448,0.01588758,0.005599423,
21,3/2/2015,169.953,-0.00381,170.602,170.611,168.695,169.070,124212900,1.780,0.014,0.011,168.706,165.145,172.266,0.266,168.783,169.180,-0.397,-0.480,0.166,2.432,2.432,47.979,62.237,,164.789,171.785,83.094,54.649,49.025,65.897,5.624,0.000,0.000,0.01030,0.00902,0.011,0.800,0.134039907,0.13663405,
